NAM,X1,X2,X3,V1,V2,V3,M,L,MC,RC,RS,POT,TE
1,0.2806711494922638,0.13048513233661652,-0.3435285687446594,1.2873231172561646,-0.608960747718811,-0.1090768426656723,0.7997608184814453,0.23597049713134766,0.0,0.0,0.7290395498275757,-1.3149138689041138,4716.462890625
2,0.2805233895778656,0.1309819519519806,-0.3439450263977051,0.6970908045768738,-1.6721773147583008,0.2899044156074524,7.997603274079168e-11,0.0,0.0,0.0,145.0044403076172,-3.2073097229003906,3.940351517295326e-11
3,0.613801896572113,0.22752872109413147,-0.5345961451530457,0.35105594992637634,-0.7668460011482239,-1.1327605247497559,1.7661044597625732,9.419905662536621,0.0,0.0,1.533147931098938,-0.9713640809059143,8175.1767578125
4,0.6165839433670044,0.23627270758152008,-0.5404278039932251,-0.003915832377970219,-0.9773741364479065,-1.27411687374115,1.7661049012129837e-10,0.0,0.0,0.0,111.3514175415039,-1.2204368114471436,1.336458999023904e-10
5,0.4116361141204834,0.7680972218513489,-0.5051244497299194,0.494644433259964,-0.31689581274986267,-0.47843384742736816,0.748044490814209,0.17228077352046967,0.0,0.0,0.691042423248291,-0.8797252178192139,4478.0029296875
6,0.41330504417419434,0.7758126258850098,-0.5054035186767578,0.961280882358551,-0.14337342977523804,-0.5774486064910889,7.48044334808462e-11,0.0,0.0,0.0,148.27188110351562,-1.0241994857788086,3.5544837906353877e-11
7,0.18432532250881195,0.7472186088562012,-0.4334145188331604,0.7683238387107849,0.5652573704719543,-0.8037505149841309,1.0083000659942627,0.7262712121009827,0.0,0.0,0.896742582321167,-0.9849452972412109,5632.72265625
8,0.18416725099086761,0.7467555403709412,-0.4345303177833557,2.961127281188965,0.3163613975048065,-1.2196850776672363,1.0082994855720173e-10,0.0,0.0,0.0,134.2264404296875,-2.2873470783233643,5.632127056398595e-11
9,-0.5925863981246948,-0.75276780128479,-0.5777150988578796,0.5144258737564087,-0.4707806706428528,0.4100186228752136,0.771307110786438,0.1987546980381012,0.0,0.0,0.7085592746734619,-0.7932995557785034,4583.19970703125
10,-0.5986570119857788,-0.7457256317138672,-0.5739250779151917,0.7264703512191772,-0.3369238078594208,0.42494019865989685,7.713076011217623e-11,0.0,0.0,0.0,146.76597595214844,-0.9162085652351379,3.726328620667907e-11
