NAM,X1,X2,X3,V1,V2,V3,M,L,MC,RC,RS,POT,TE
62,-2.396148443222046,33.6630973815918,-38.1947021484375,0.1859031766653061,0.9415914416313171,-3.8573856353759766,4.6970038969362804e-11,0.0,0.0,0.0,173.15203857421875,-3.6862635612487793,1.734585912405162e-11
282,0.36807557940483093,31.680341720581055,-39.43233871459961,0.7141380310058594,1.213728666305542,-4.290673732757568,4.777354206675355e-11,0.0,0.0,0.0,172.17579650878906,-29.048452377319336,1.7805432475648253e-11
156,-0.29996296763420105,31.09718894958496,-40.49237060546875,-0.25696951150894165,1.8890621662139893,-4.157716751098633,1.672347815784292e-10,0.0,0.0,0.0,113.39459991455078,-4.944433689117432,1.2286656414506325e-10
411,0.4885595738887787,31.663347244262695,-40.447792053222656,0.2825213372707367,2.0120677947998047,-4.2960968017578125,2.2996668815612793,28.458026885986328,0.0,0.0,1.7409296035766602,-0.4919278621673584,10114.353515625
532,0.5265901684761047,31.646677017211914,-40.44055938720703,0.1440531462430954,3.511659860610962,-2.9771084785461426,0.5563740730285645,0.05216832458972931,0.0,0.0,0.5133082866668701,-1.7297419309616089,3854.251953125
633,1.6987539529800415,31.85236358642578,-40.031089782714844,-0.13670527935028076,1.2184780836105347,-3.6351327896118164,0.35180947184562683,0.01762080192565918,0.0,0.0,0.3380737006664276,-0.9319194555282593,3620.580810546875
587,1.6961348056793213,31.83112335205078,-40.058902740478516,-0.22279419004917145,3.170797109603882,-3.664487361907959,0.4406375586986542,0.02775222435593605,0.0,0.0,0.40630900859832764,-0.46651068329811096,3699.76171875
784,1.002229928970337,30.559280395507812,-39.95846939086914,-0.15129970014095306,3.022460460662842,-2.5970780849456787,0.1866903305053711,0.004849485587328672,0.0,0.0,0.21954694390296936,-0.6358678936958313,3254.1513671875
658,0.587642252445221,31.577850341796875,-40.38302230834961,-0.898084282875061,2.437601089477539,-3.727557420730591,0.3083149194717407,0.01372525840997696,0.0,0.0,0.3076818883419037,-1.077897548675537,3565.38720703125
403,0.9959557056427002,30.58757972717285,-39.923946380615234,0.1461484283208847,2.6564760208129883,-4.055915832519531,4.416062355041504,363.88800048828125,0.0,0.0,2.6524317264556885,-0.5325973033905029,15495.2060546875
760,1.1789145469665527,31.152341842651367,-40.048179626464844,0.9080188274383545,1.536515235900879,-3.0738043785095215,0.2038763016462326,0.00590681005269289,0.0,0.0,0.2332979291677475,-1.7373586893081665,3316.349853515625
912,1.437512993812561,31.138341903686523,-40.652191162109375,-0.1397218257188797,2.4785807132720947,-3.5431525707244873,0.11563701182603836,0.0014575384557247162,0.0,0.0,0.15013375878334045,-0.6117011308670044,2913.690185546875
706,1.2768746614456177,31.534250259399414,-41.06649398803711,0.489902138710022,1.768789291381836,-3.6601035594940186,0.25048500299453735,0.00913179013878107,0.0,0.0,0.2676635682582855,-0.4876444935798645,3452.40625
940,1.7098451852798462,30.6326847076416,-40.333831787109375,1.010695457458496,2.0608417987823486,-3.9205942153930664,0.10851619392633438,0.0012179847108200192,0.0,0.0,0.14144234359264374,-0.5362545847892761,2870.108154296875
618,0.8456255197525024,31.323843002319336,-40.145599365234375,-0.3154293894767761,3.018251419067383,-3.20881724357605,0.3768503665924072,0.02010214328765869,0.0,0.0,0.3562586009502411,-1.2512162923812866,3645.06640625
